epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,852.4,0.52908,0.63534,0.89772,1,0.99742,0.995,0.85375,0.57962,0.94283,0.88172,0.000643795,0.000643795,0.000643795
64,865.732,0.59864,0.69549,0.89832,0.98156,1,0.995,0.85688,0.52629,0.91689,0.86583,0.000627292,0.000627292,0.000627292
65,879.187,0.4562,0.60397,0.8686,0.98156,1,0.995,0.85688,0.52629,0.91689,0.86583,0.000610789,0.000610789,0.000610789
66,892.651,0.54999,0.6336,0.90968,0.97849,1,0.995,0.86212,0.52975,0.92081,0.86442,0.000594286,0.000594286,0.000594286
67,906.024,0.5395,0.69116,0.91473,0.98583,1,0.995,0.85688,0.53505,0.88823,0.86128,0.000577782,0.000577782,0.000577782
68,919.394,0.5136,0.62071,0.87273,0.99132,1,0.995,0.86212,0.52111,0.84638,0.85532,0.000561279,0.000561279,0.000561279
69,932.631,0.5851,0.65004,0.94939,0.99132,1,0.995,0.86212,0.52111,0.84638,0.85532,0.000544776,0.000544776,0.000544776
70,946.006,0.49335,0.58289,0.91722,0.99237,1,0.995,0.86212,0.50145,0.7913,0.85388,0.000528272,0.000528272,0.000528272
71,959.418,0.49776,0.59593,0.90601,0.99346,1,0.995,0.87162,0.50452,0.75847,0.85614,0.000511769,0.000511769,0.000511769
72,972.75,0.53006,0.75368,0.93734,0.99377,1,0.995,0.89384,0.49198,0.76131,0.84902,0.000495266,0.000495266,0.000495266
73,986.038,0.48252,0.68783,0.92949,0.99377,1,0.995,0.89384,0.49198,0.76131,0.84902,0.000478762,0.000478762,0.000478762
74,999.368,0.59222,0.66704,0.92662,0.99388,1,0.995,0.91206,0.49465,0.76121,0.84917,0.000462259,0.000462259,0.000462259
75,1012.64,0.45162,0.55362,0.89179,0.9939,1,0.995,0.91149,0.48377,0.77378,0.84568,0.000445756,0.000445756,0.000445756
76,1026,0.49058,0.57238,0.87499,0.9939,1,0.995,0.91745,0.47999,0.76993,0.84319,0.000429253,0.000429253,0.000429253
77,1039.39,0.50878,0.56688,0.88239,0.9939,1,0.995,0.91745,0.47999,0.76993,0.84319,0.000412749,0.000412749,0.000412749
78,1052.84,0.41239,0.51806,0.844,0.99389,1,0.995,0.91149,0.49354,0.75984,0.84553,0.000396246,0.000396246,0.000396246
79,1066.36,0.43958,0.70622,0.8919,0.99394,1,0.995,0.88117,0.51595,0.76785,0.8494,0.000379743,0.000379743,0.000379743
80,1079.65,0.45364,0.54723,0.89547,0.9939,1,0.995,0.86412,0.5357,0.76667,0.85461,0.000363239,0.000363239,0.000363239
81,1093.25,0.52244,0.58847,0.93567,0.9939,1,0.995,0.86412,0.5357,0.76667,0.85461,0.000346736,0.000346736,0.000346736
82,1106.68,0.48596,0.56028,0.84307,0.99394,1,0.995,0.86412,0.54981,0.76517,0.85744,0.000330233,0.000330233,0.000330233
83,1120.06,0.51792,0.67108,0.91795,0.99402,1,0.995,0.86412,0.55108,0.7585,0.85647,0.000313729,0.000313729,0.000313729
84,1133.42,0.48097,0.54258,0.89256,0.99393,1,0.995,0.88773,0.55421,0.75714,0.85693,0.000297226,0.000297226,0.000297226
85,1146.83,0.50481,0.56688,0.88713,0.99393,1,0.995,0.88773,0.55421,0.75714,0.85693,0.000280723,0.000280723,0.000280723
86,1160.13,0.57722,0.61941,0.95832,0.99397,1,0.995,0.88773,0.54207,0.75276,0.85414,0.00026422,0.00026422,0.00026422
87,1173.48,0.41415,0.53949,0.8742,0.99408,1,0.995,0.89175,0.52305,0.75945,0.85109,0.000247716,0.000247716,0.000247716
88,1186.78,0.44227,0.58499,0.91887,0.99399,1,0.995,0.89464,0.50678,0.76087,0.84759,0.000231213,0.000231213,0.000231213
89,1199.98,0.41402,0.50302,0.88692,0.99399,1,0.995,0.89464,0.50678,0.76087,0.84759,0.00021471,0.00021471,0.00021471
90,1213.36,0.4473,0.55089,0.85027,0.99402,1,0.995,0.90235,0.50793,0.73794,0.84938,0.000198206,0.000198206,0.000198206
91,1226.5,0.39416,0.62181,0.83366,0.99394,1,0.995,0.9086,0.52489,0.73445,0.85175,0.000181703,0.000181703,0.000181703
92,1239.58,0.35692,0.66778,0.79831,0.99389,1,0.995,0.9086,0.55852,0.74719,0.85763,0.0001652,0.0001652,0.0001652
93,1252.7,0.36031,0.60502,0.83047,0.99389,1,0.995,0.9086,0.55852,0.74719,0.85763,0.000148696,0.000148696,0.000148696
94,1265.79,0.32591,0.62375,0.81806,0.99388,1,0.995,0.90089,0.5817,0.76796,0.8625,0.000132193,0.000132193,0.000132193
95,1279.31,0.33105,0.60719,0.80163,0.994,1,0.995,0.90089,0.59833,0.77959,0.86773,0.00011569,0.00011569,0.00011569
96,1292.42,0.32928,0.66218,0.75407,0.99395,1,0.995,0.87638,0.60078,0.77783,0.86867,9.91865e-05,9.91865e-05,9.91865e-05
97,1305.54,0.30448,0.60642,0.79042,0.99395,1,0.995,0.87638,0.60078,0.77783,0.86867,8.26832e-05,8.26832e-05,8.26832e-05
98,1318.66,0.29452,0.57834,0.78241,0.99401,1,0.995,0.87558,0.58583,0.77391,0.86361,6.61799e-05,6.61799e-05,6.61799e-05
99,1331.74,0.51748,0.98683,0.82227,0.99417,1,0.995,0.89384,0.56846,0.7623,0.85719,4.96766e-05,4.96766e-05,4.96766e-05
100,1344.94,0.33097,0.62852,0.80104,0.99411,1,0.995,0.89384,0.55418,0.74975,0.85205,3.31733e-05,3.31733e-05,3.31733e-05
